diaObjectId,ra,decl,BBBRiseRate,BBBFallRate,nSourcesGood,classification
170019695992242795,52.82385,-29.691601,2.9886,0.00907793,6,SN
170019696416391237,63.83938,-48.811246,6.72203,0.0657689,180,SN
170019716272750703,149.86024,1.030540,0.746504,0.00575578,14,SN
170019716347723894,150.73863,3.353263,1.12944,0.0166717,117,SN
170019717277810735,151.74028,1.927048,1.30602,0.021742,649,SN
170028486094749710,57.48290,-49.573083,12.7866,0.0203874,62,SN
170028486602784874,59.42044,-49.714955,0.503641,0.0236408,239,SN
170028493421150456,63.73876,-49.589427,0.590635,0.0194864,20,SN
170028512490553411,149.13099,3.610218,0.660564,0.012594,440,ORPHAN
170028526485897242,186.16644,7.070593,1.28081,0.00995164,421,SN
170028526600716341,186.15066,8.140832,1.35825,0.00863802,382,SN
170028527045836844,186.29227,6.880426,0.562689,0.0000439091,224,SN
170028527876833332,188.08229,7.082889,1.33158,0.00620799,133,SN
170028528880844842,185.81206,7.088741,0.475402,0.000368275,11,SN
170028529047044154,187.22010,8.286834,1.44698,0.0183412,10,SN
170028529068540016,187.53498,7.927382,3.42373,0.228069,74,SN
170032918138191891,187.44704,8.003913,10.6454,0.0689696,8,SN
170032924937682969,186.29426,6.565361,4.46726,0.0623838,6,SN
170050474601349124,62.10102,-47.893803,2.93931,0.390613,143,SN
313637935731703843,60.93765,-49.474168,0.188558,0.224115,12,SN
313664314432028764,57.13708,-50.220136,0.108895,0.0549612,14,SN
313673106918473748,9.96953,-44.464840,0.119726,0.00814263,6,AGN
313673106939969537,9.93458,-43.158861,0.0836997,0.0196771,42,VS
313677517025181712,51.57008,-29.051012,0.0000202962,0.0568442,12,VS
313677517058736163,53.68075,-29.064676,0.998295,0.0377646,19,VS
313677517072367680,52.51311,-27.492309,0.214666,0.201293,15,SN
313695087506227233,9.83916,-43.889699,0.104845,0.0897361,98,AGN
313695087507275824,9.65727,-43.413036,0.304002,0.0919697,10,VS
313695087518285923,8.48873,-44.650270,0.0840882,0.0725738,7,VS
313695087536111643,8.35124,-43.980265,0.284499,0.248496,6,AGN
313695087600074760,11.87111,-43.863891,0.0870142,0.0139001,21,AGN
313695088811704431,53.56897,-27.117201,0.355563,0.368725,7,VS
313695088817995785,54.41331,-27.477068,0.0512092,0.0409154,49,SN
313695088945399190,53.28361,-26.374149,0.448473,0.4264,9,VS
313699505026367504,8.55742,-43.433470,1.1587,1.16509,13,AGN
313699505026891819,8.19084,-43.248168,0.0915594,0.0653229,11,AGN
313699505063591947,10.27275,-42.429200,0.0591932,0.036936,16,VS
313699505066737694,9.27687,-42.312064,0.0631572,0.0338499,40,AGN
313699507075285063,61.51642,-47.797462,0.640148,0.0087105,11,VS
313699514821640259,51.62055,-28.114118,0.103418,0.00967856,116,SN
313703905112883230,61.96266,-48.831815,0.114272,0.0842799,92,SN
313708289051328625,59.46464,-48.141615,0.291629,0.0557459,38,SN
313708289073348625,57.96477,-47.804562,0.190843,0.0993916,14,SN
313721465574785120,7.18875,-45.055999,0.0786143,0.0525995,10,VS
313721465969573985,10.10845,-44.367319,1.0624,0.00572754,15,AGN
313721466431995933,10.40479,-42.789252,0.113464,0.0284439,8,VS
313730259786137646,9.84444,-45.836009,0.0740496,0.0416118,9,AGN
313730260217626638,11.75818,-43.553917,0.275888,0.265846,10,VS
313756671414894622,52.51436,-28.595893,0.0725645,0.0138138,73,NT
